합주실 이름,가격(시간당),기타 정보,네이버 지도,수용 인원 (오피셜),예약 방식,위치,장비,후기(요약)
비케이 합주실 Room 1,"₩23,000","악기대여 O, 주차 X",https://naver.me/5zlBQxEJ,,사이트 예약,"서울, 잠실","Ampeg SVT4 PRO, Ampeg SVT810E, DW Collector, Marshall 1960, Marshall JCM2000 TSL, Nord electro 5D, YAMAHA S90ES","- 넓고 밝고 쾌적함
- 2인 정도 사이즈의 푹신한 소파 있음
- Nord Electro, 마샬 스택앰프 두 대 등 장비 준수함"
비케이 합주실 Room 2,"₩21,000","악기대여 O, 주차 X",https://naver.me/5zlBQxEJ,,네이버 예약,"서울, 잠실","Ampeg SVT3 PRO, Ampeg SVT810E, Marshall 1960, Marshall JCM2000 DSL, Marshall JCM2000 TSL, TAMA Starclassic Performer, YAMAHA MODX6, YAMAHA MODX8","- 넓고 밝고 쾌적함
- 2인 사이즈 정도의 푹신한 소파 있음
- 모두 스택 앰프로 구성, 2 키보드 등 장비 준수함"
그라운드 합주실 합정 1호점 S룸,"₩21,000","악기대여 O, 주차 X",https://naver.me/GjRtRpqE,,"네이버 예약, 사이트 예약","서울, 합정","EBS TD650 Head, Mapex Saturn, Marshall 1960A Classic, Marshall DSL 100H, Marshall JCM2000 TSL, Neoline Pro 410 Cabinet, YAMAHA MOTIF XF7, YAMAHA S90ES","보컬 모니터링 스피커 * 2, 드럼 모니터링 스피커 * 1
마이크 8개
넓고 사운드밸런스 좋고 음료반입 가능"
스페이스 개러지 L룸,"₩20,000","악기대여 O, 주차 X",https://naver.me/5GhTyutm,15,네이버 예약,"서울, 흑석","Kurzweil PC3X, Markbass Little Mark, Marshall JCM2000 DSL, Mesaboogie Dual Rectifier, Peavey Classic, TAMA Swingstar, YAMAHA MOXF8","- 절대 존엄 메사부기 듀얼 렉티파이어, 그 외 장비가 전반적으로 준수. 모든 기타앰프 마이킹
- 방 엄청 넓음, 오피셜 수용인원 15명인데 충분히 수용가능하며 깨끗하고 쾌적함
- 묘하게 힙한 인테리어와 조도 낮은 전구색 조명을 켤 수 있어서 감성 폴폴 챙길 수 있음
- 대여악기 상태 준수
- 30분 단위 예약 가능"
리엠뮤직합주실 잠실석촌점,"₩22,000","악기대여 X, 주차 X",https://naver.me/GMWLKmtF,20,스페이스클라우드,"서울, 석촌","Ampeg SVT810E, Marshall DSL 100H, Pearl Masters, YAMAHA MOTIF XF8, YAMAHA S90XS","- 넓음
- 조도가 낮아 어두움
- 간판 하나 없어서 찾기가 힘듦. 웬 문 닫은 교회 건물 지하에 있는데, 합주실 입구에도 팜플렛 하나 없어 ‘여기가 맞나…’하고 들어가야 함
- 반사음을 제대로 잡지 못한 방음 시공탓에 베이스가 벙벙 울림
- 민원 들어와서 경찰 출동한 적도 있다고 함"
비쥬합주실 1호점 화이트룸,"₩17,000","악기대여 X, 주차 X",https://naver.me/5X9pd3WG,6,네이버 예약,"서울, 이수","Ampeg SVT4 PRO, Ampeg SVT810E, Marshall ATV 100, Marshall JCM2000 DSL, Pearl Vision, YAMAHA MOTIF ES6, YAMAHA S90XS","- 좀 오래되고 지하라서 꿉꿉할수있음
- 케이블 및 앰프 접촉부가 안좋음"
비쥬합주실 3호점 Modern룸,"₩25,000","악기대여 X, 주차 O",https://naver.me/FiE0OY6A,,네이버 예약,"서울, 이수","LUDWIG, Markbass Little Mark, Markbass Standard 104HR, Marshall 1960A Classic, Marshall JCM2000 TSL, YAMAHA MOTIF ES7, YAMAHA S90XS",
비쥬합주실 3호점 Jazz룸,"₩25,000","악기대여 X, 주차 O",https://naver.me/FiE0OY6A,,네이버 예약,"서울, 이수","Markbass Little Mark, Markbass Standard 104HR, Marshall 1960A Classic, Marshall JCM2000 TSL, Pearl Vision, YAMAHA MOTIF ES7, YAMAHA S90ES","- 방이 한쪽으로 길쭉한데 앰프방향은 짧은방향으로 되어있어 사운드를 맞추기 어렵고 선도 엄청꼬임.
- 야마하 업라이트 피아노 있음"
스페이스 개러지 R룸,"₩15,000","악기대여 O, 주차 X",https://naver.me/5GhTyutm,6,네이버 예약,"서울, 흑석","Ashdown EVO MAG300, Kurzweil SP4-8, Marshall JTM30, Sonor Smart Force, VOX AC15","- 대여악기 상태 준수
- 30분 단위 예약 가능
- 드럼용 모니터링 앰프 있음"
드림합주실 사당점 V룸,"₩25,000","악기대여 O, 주차 X",https://naver.me/FoEiYpD0,30,사이트 예약,"사당, 서울","Ampeg SVT4 PRO, Marshall JCM2000 DSL, Mesaboogie Triple Rectifier, Montage 88, Nord Stage3 88, Pearl Maple, YAMAHA MODX7+, YAMAHA MOTIF ES7","- 드럼 - 트윈페달, 차이나, 스플레쉬 심벌까지…. / 인이어 모니터 퍼스널 믹서 기본 제공 (이어폰은 필요)
- 모니터 장비 다 있고, 모니터 환경을 직접 조절할 수 있는 컨트롤 패드 제공
- 사장님 오지랖이 넓음. 종종 합주실에 있으실 때 합주 듣고 코멘트주시곤 하는데 한 귀로 흘려들어야 함"
드림합주실 사당점 S룸,"₩23,000","악기대여 O, 주차 X",https://naver.me/FoEiYpD0,25,사이트 예약,"사당, 서울","Ampeg V12, Marshall JCM2000 DSL, Montage 88, Pearl Maple, YAMAHA MODX7+, YAMAHA S90ES","- 드럼 - 트윈페달, 차이나, 스플레쉬 심벌까지…. / 인이어 모니터 퍼스널 믹서 기본 제공 (이어폰은 필요)
- 모니터 장비 다 있고, 모니터 환경을 직접 조절할 수 있는 컨트롤 패드 제공"
드림합주실 사당점 Q룸,"₩21,000","악기대여 O, 주차 X",https://naver.me/FoEiYpD0,18,사이트 예약,"사당, 서울","Ampeg Mark III, Marshall JCM2000 DSL, Montage 88, Pearl Maple, YAMAHA MOTIF XS7, YAMAHA S90XS","- 드럼 - 트윈페달, 차이나, 스플레쉬 심벌까지…. / 인이어 모니터 퍼스널 믹서 기본 제공 (이어폰은 필요)
- 모니터 장비 다 있고, 모니터 환경을 직접 조절할 수 있는 컨트롤 패드 제공"
드림합주실 사당점 C룸,"₩17,000","악기대여 O, 주차 X",https://naver.me/FoEiYpD0,10,사이트 예약,"사당, 서울","Ampeg V7, Marshall JCM2000 DSL, Pearl Vision, YAMAHA MOTIF ES7, YAMAHA MOTIF XS8, YAMAHA S90XS","- 드럼) 차이나, 스플래시 심벌 O
- 보컬 모니터 O
- 사장님 오지랖 이슈로, 종종 합주 피드백 주시면 흘려들어야 함"
드림합주실 사당점 D룸,"₩12,000","악기대여 O, 주차 X",https://naver.me/FoEiYpD0,5,사이트 예약,"사당, 서울","Markbass CMD201P, Marshall JCM2000 TSL, Pearl Vision, YAMAHA CP4 STAGE, YAMAHA MOTIF6","- 드럼) 스플래시 심벌 O
- 보컬 모니터 O"
